Gas Temperature((C0),Gas Humdity(%),Air Temperature(C0),Air Humdity(%),Bio Mass Level(%),Pressure(psi),PH,Gas(dm3)
33.75,78.9,31.05,83.4,78,10.4,11.2,4.3
34.75,74.65,30.8,83.08,75,10.5,11.3,4.2
32.2,69.5,30.7,83.03,76,10.2,11.9,4.8
33.75,68.7,30.89,99.72,74,10.3,11.8,4.1
32.94,69.2,30.15,83,71,10.5,11.8,4.3
30.94,68.9,30.8,82.97,73,10.2,11.7,4.7
33.75,69.1,30.74,82.92,75,10.3,11.5,5.2
32.75,69.8,30.6,82.87,76,10.2,12.3,5.9
33.11,73.5,30.59,82.84,64,10.4,12.5,5.3
31.52,72.6,30.16,82.79,68,10.5,12.4,5.7
33.75,79.8,30.5,82.7,67,10.9,12.6,5.2
31.75,76.9,30.94,82.78,61,10.8,12.8,5.1
33.75,78.4,31.57,82.94,62,10.7,12.9,5.6
34.75,76.8,31.54,83.11,63,10.2,12.4,4.1
32.2,80.6,30.46,82.87,69,10.3,12.7,4.3
33.75,81.7,30.2,82.77,60,10.1,12.6,5.2
35.25,82.1,30.48,82.98,70,11.4,12.5,76.8
33.75,83.8,31.35,83.04,59,11.9,12.4,6.4
31.75,80.5,31,84.92,81,11.8,11.2,6.2
33.75,80.6,30.5,84.27,82,12.1,12.4,6.8
34.75,79.5,31.6,84.82,85,12,12.5,6.7
32.2,79.9,31.4,85.28,83,12.5,12.8,5.2
33.75,77.7,32.1,86.53,84,8.5,12.7,5.3
34,77.6,32,84.87,56,8.6,11.5,5.1
32.94,76.8,32.5,85.45,57,8.7,11.2,5.2
30.94,76.4,33.6,85.3,58,8.9,11.3,5.4
33.75,77,32.5,83.9,54,8.7,11.4,5.7
32.75,76.1,32.45,84.26,53,8.5,11.4,5.8
33.11,75.5,32.3,84.09,62,8.6,11.7,4.3
31.52,75.8,32.89,83.82,53,8.5,11.8,5.1
34.75,74.4,32.8,84.19,64,8.5,11.8,4.1
34,73.5,33.1,84.05,69,8.5,11.8,5.2
33.25,78.2,32.8,83.53,68,8.7,11.9,5.3
33.75,75.9,31.56,82.26,67,8.5,11.9,5.9
31.75,73.4,31.5,81.75,71,8.6,11.5,6.1
33.75,69.6,30.9,82.16,70,8.5,11.6,7.1
34.75,68.6,31.19,82.46,60,8.4,11.4,7.3
32.2,67.4,31.4,82.81,73,8.1,11.3,5.9
33.75,70.4,31.6,83.4,72,8.2,11.2,4.9
33.11,72.5,31.3,83.08,79,8.1,12.5,5.2
31.52,77.4,31.4,83.13,78,8.4,1.5,5.3
34.75,78.69,30.8,82.2,57,8.9,12.4,5.1
33.43,80.47,30.2,82.16,58,8.7,12.6,5.2
